,Compound,Date,Negative,Network,Neutral,Positive,Tweet Text,Tweets Ago
27,-0.1531,Sun Mar 04 21:05:00 +0000 2018,0.049,@FoxNews,0.951,0.0,".@SecretaryRoss: ""We're talking about a total of $9 billion of tariffs. That's about one half of one percent of the economy. So this business that 'the sky is falling' is just silly."" https://t.co/d4hTfXpUvK",28
28,0.0,Sun Mar 04 20:59:49 +0000 2018,0.0,@FoxNews,1.0,0.0,"Girl, 2, dies after Payless store mirror falls on her, officials say https://t.co/vJoGZpOcCw",29
29,0.836,Sun Mar 04 20:52:21 +0000 2018,0.0,@FoxNews,0.774,0.226,".@MariaBartiromo: ""The U.S. has been behind the curve in terms of free and fair trade for a long time, and @POTUS promised that he was going to level the playing field and that's exactly what this does."" https://t.co/iMVB1jihOn https://t.co/E36stzVeDF",30
30,0.0,Sun Mar 04 20:46:03 +0000 2018,0.0,@FoxNews,1.0,0.0,".@ChrisChristie on Kushner: A Lot Harder for @POTUS to Rein In Aides 'You're Sitting at Thanksgiving With'
https://t.co/xXj3Vq3BFr",31
31,-0.3612,Sun Mar 04 20:37:30 +0000 2018,0.238,@FoxNews,0.762,0.0,.@newtgingrich: Congress must fix @BarackObama's joint employer mess https://t.co/ABCluQEM21,32
32,0.4215,Sun Mar 04 20:34:10 +0000 2018,0.0,@FoxNews,0.823,0.177,Mueller team looking into possible United Arab Emirates money into Trump campaign: report https://t.co/AKWlnfznbl,33
33,-0.7769,Sun Mar 04 20:23:30 +0000 2018,0.195,@FoxNews,0.805,0.0,"Gerald Seib on Russia threat: ""There's a really sustained attack on the [institutions] of democracy and its role as a model for the world. And that's the broader issue here."" #FoxNewsSunday https://t.co/X5d1nSj05y",34
34,0.0129,Sun Mar 04 20:23:21 +0000 2018,0.086,@FoxNews,0.826,0.088,"At Gridiron Dinner, Trump jokes on politics -- but gets serious about North Korea talks https://t.co/4iQSO01v9k",35
35,-0.3612,Sun Mar 04 20:18:53 +0000 2018,0.252,@FoxNews,0.611,0.137,Top NASCAR Venue Sticking With NRA Amid Business Outcry https://t.co/sFSzYSm6ss,36
36,-0.5574,Sun Mar 04 20:13:16 +0000 2018,0.15,@FoxNews,0.85,0.0,"Jane Harman on gun control: ""It's not a debate between guns or no guns, it's a debate about what level of protection can we give kids in school?"" #FoxNewsSunday https://t.co/7lBBTiaY24",37
37,-0.6853,Sun Mar 04 20:07:57 +0000 2018,0.168,@FoxNews,0.832,0.0,"Michael Needham on gun control: ""What makes this issue so hard pressed as a country is it is one of the flash points in a cultural, civic breaking apart that really does risk tearing our country."" #FoxNewsSunday https://t.co/3kf5pBsrDZ",38
38,0.3818,Sun Mar 04 20:07:04 +0000 2018,0.097,@FoxNews,0.743,0.161,"Josh Bolten on POTUS' tariff hikes: ""Nobody wins a trade war, especially in these globalized days. The United States [is] so dependent on goods coming in and going out for our competitiveness."" #FoxNewsSunday https://t.co/Vwnb6vox1T",39
39,-0.3818,Sun Mar 04 19:57:48 +0000 2018,0.089,@FoxNews,0.838,0.073,"Josh Bolten on @POTUS' tariff hikes: ""You're going to cause damage across any number of downstream industries and any number of industries that export to countries that are likely to retaliate."" #FoxNewsSunday https://t.co/TZNuRdc56j",40
40,0.0,Sun Mar 04 19:56:04 +0000 2018,0.0,@FoxNews,1.0,0.0,Russian presidential candidate doused with water https://t.co/Lz4bOgLlS9,41
41,-0.9217,Sun Mar 04 19:38:44 +0000 2018,0.449,@FoxNews,0.551,0.0,"Missouri man, who once threatened to 'kill all white people,' is indicted in 2nd set of 3 killings https://t.co/cNjIwIzCFm",42
42,-0.5684,Sun Mar 04 19:34:48 +0000 2018,0.167,@FoxNews,0.771,0.061,"Peter Navarro on POTUS' tariff hikes: Our aluminum industry, make no mistake, that thing is on life support. That will be gone in a year or two if the president doesn't take the courageous actions he's proposed. "" #FoxNewsSunday https://t.co/xVlCSF5bYL",43
43,0.0258,Sun Mar 04 19:34:03 +0000 2018,0.0,@FoxNews,0.966,0.034,"On ""Justice,"" @JudgeJeanine Pirro issued this message to @HillaryClinton after the former Secretary of State claimed President @realDonaldTrump is not doing enough to prevent future election meddling by the Russians. https://t.co/dN1pNLYsfI https://t.co/2qbKvW6U7S",44
44,0.2023,Sun Mar 04 19:31:46 +0000 2018,0.0,@FoxNews,0.847,0.153,Top 11 sources by country of U.S. steel imports. #FoxNewsSunday https://t.co/ZxZA0jA2OY,45
45,0.765,Sun Mar 04 19:29:12 +0000 2018,0.0,@FoxNews,0.645,0.355,'There's Magic In Books': @DollyParton Honored By @librarycongress for Child Literacy Charity Milestone https://t.co/owlRwEOOD0,46
46,0.6705,Sun Mar 04 19:28:06 +0000 2018,0.0,@FoxNews,0.82,0.18,"Peter Navarro on @POTUS' tariff hikes: ""What @realDonaldTrump wants to do is fulfill his campaign promises to the American people and defend the American workers."" #FoxNewsSunday https://t.co/iY2gnKOB1Y",47
47,-0.4069,Sun Mar 04 19:25:00 +0000 2018,0.13,@FoxNews,0.791,0.079,"TONIGHT: A special 2-hour SCANDALOUS - First, Episode 6: 'Impeachment,' then the all-new finale: 'The Show That Never Ends' - It all begins at 7p ET on Fox News Channel! https://t.co/e6GpLv4qQ3 https://t.co/bLXxdqzhPM",48
48,-0.3612,Sun Mar 04 19:22:53 +0000 2018,0.172,@FoxNews,0.828,0.0,"Facebook ends 'Explore Feed' test after journalists, users complain https://t.co/63iaJKBrc9 #fntech (via @christocarbone)",49
49,-0.8779,Sun Mar 04 19:18:34 +0000 2018,0.465,@FoxNews,0.44,0.095,"Illegal immigrant from Mexico pleads guilty to using fake identity to steal $361,000 in government benefits https://t.co/1mkWPDyLlh",50
50,0.2023,Sun Mar 04 19:10:21 +0000 2018,0.145,@FoxNews,0.658,0.197,".@Kathy4Truth: ""No one cares about Russia except for Democrats and Russians."" https://t.co/m2d0Rf7Fj1",51
51,-0.5106,Sun Mar 04 18:55:10 +0000 2018,0.171,@FoxNews,0.829,0.0,"'Senator, At Least 'Try' Not to Sound Racist': @JesseBWatters Recalls the Dumbest Things Politicians Said Recently https://t.co/xRRVHBB85b",52
52,0.5707,Sun Mar 04 18:48:00 +0000 2018,0.0,@FoxNews,0.83,0.17,"TONIGHT: A brand new ""Life, Liberty, and Levin"" with @marklevinshow - Tune in at 10p ET on Fox News Channel! https://t.co/pOhiIDzuUB",53
53,-0.6705,Sun Mar 04 18:45:44 +0000 2018,0.273,@FoxNews,0.727,0.0,Texas man killed after 'device' explodes on front porch of Austin home https://t.co/FeQBUfu4Pw,54
54,-0.4019,Sun Mar 04 18:35:54 +0000 2018,0.184,@FoxNews,0.816,0.0,"Davide Astori, Fiorentina captain, dies of 'sudden illness' at 31, team says https://t.co/bk8KRaJlwm",55
55,-0.3612,Sun Mar 04 18:32:14 +0000 2018,0.333,@FoxNews,0.667,0.0,Famous mistakes at the Oscars https://t.co/cY2maKQSlP,56
56,-0.4404,Sun Mar 04 18:04:36 +0000 2018,0.195,@FoxNews,0.805,0.0,ICE arrests 232 people in four-day raid of California's Bay Area https://t.co/Y8XE68bXa7 https://t.co/CIqDoCI2Gc,57
57,0.0,Sun Mar 04 17:51:37 +0000 2018,0.0,@FoxNews,1.0,0.0,".@DiamondandSilk: ""If anyone comes for @POTUS [at #Oscars], we will be coming for them."" https://t.co/mNfFYbSPsw",58
58,-0.5719,Sun Mar 04 17:44:44 +0000 2018,0.139,@FoxNews,0.861,0.0,".@KatrinaPierson: ""There are no boundaries at the level and the extent that they will go to to smear this President, his family, and those people around him... It's quite scary."" https://t.co/zH8ZPllyMH",59
59,0.0,Sun Mar 04 17:37:28 +0000 2018,0.0,@FoxNews,1.0,0.0,Meghan Markle to be baptized at Kensington Palace https://t.co/zaXXwLQprV,60
60,0.6486,Sun Mar 04 17:24:00 +0000 2018,0.0,@FoxNews,0.739,0.261,"On @foxandfriends, forklift driver and former lifelong Democrat-turned-@realDonaldTrump supporter Geno DiFabio praised @POTUS's economic policies. https://t.co/RKkLEAyW42 https://t.co/VdE4IHbGvV",61
61,0.3612,Sun Mar 04 17:23:53 +0000 2018,0.0,@FoxNews,0.706,0.294,Do you agree with @RealCandaceO? https://t.co/jgMqW22Xtu https://t.co/1iJRHPOetc,62
62,-0.4069,Sun Mar 04 17:23:00 +0000 2018,0.13,@FoxNews,0.791,0.079,"TONIGHT: A special 2-hour SCANDALOUS - First, Episode 6: 'Impeachment,' then the all-new finale: 'The Show That Never Ends' - It all begins at 7p ET on Fox News Channel! https://t.co/e6GpLuMPYv https://t.co/KkBhDuFDta",63
63,0.4215,Sun Mar 04 17:19:51 +0000 2018,0.0,@FoxNews,0.823,0.177,"Mueller team looking into possible United Arab Emirates money into Trump campaign: report
https://t.co/AKWlnfznbl",64
64,0.5719,Sun Mar 04 17:13:22 +0000 2018,0.095,@FoxNews,0.694,0.211,A high school basketball player helped his team win its division championship in the New York high school playoffs by hitting a 70-foot buzzer beating shot. https://t.co/V4TFi93VYj,65
65,0.0,Sun Mar 04 17:05:15 +0000 2018,0.0,@FoxNews,1.0,0.0,".@RealCandaceO: ""I just joined the @NRA... I'm a black American and I know that the @NRA was started as a civil rights organization training black Americans to arm themselves and to defend themselves against the KKK."" https://t.co/ct8zOt6vhr",66
66,0.0,Sun Mar 04 17:03:14 +0000 2018,0.0,@FoxNews,1.0,0.0,"Protocol or cowardice? Parkland student slams teacher over locked door during shooting, report says https://t.co/linxlqbSfc",67
67,-0.6705,Sun Mar 04 16:55:00 +0000 2018,0.243,@FoxNews,0.757,0.0,Texas man killed after 'device' explodes on front porch of Austin home (via @travfed)  https://t.co/FeQBUfu4Pw,68
68,0.0,Sun Mar 04 16:44:41 +0000 2018,0.0,@FoxNews,1.0,0.0,"On ""Sunday Morning Futures with @MariaBartiromo,"" @GovMikeHuckabee defended @NRA members against those who call them ""nuts."" https://t.co/GxCCG8NfWi https://t.co/TQ4US4t5FZ",69
